Kennziffer;Raumeinheit;Aggregat;Arbeitslosenquote;Beschäftigte am Wohnort ohne Berufsabschluss;Beschäftigte am Wohnort mit akademischem Abschluss;Frauenanteil;Ausländeranteil;Stimmenanteile AfD;Haushaltseinkommen;Medianeinkommen;Krankenhausbetten;Einwohner je Arzt;Einwohnerdichte
"09276";"Regen";"Landkreis";"3,6";"11,9";"6,3";"50,1";"5,9";"20,7";"1.778";"2.888";"4,07";"752,3";"79"
"09277";"Rottal-Inn";"Landkreis";"3,0";"11,7";"6,5";"50,0";"9,5";"15,3";"1.946";"2.796";"5,33";"807,9";"94"
"09278";"Straubing-Bogen";"Landkreis";"2,4";"11,7";"7,8";"49,6";"6,9";"17,1";"1.963";"2.834";"3,92";"1.134,5";"83"
"09279";"Dingolfing-Landau";"Landkreis";"2,6";"14,7";"6,3";"48,4";"11,5";"18,3";"2.048";"3.911";"1,32";"798,6";"109"
"09361";"Amberg, Stadt";"krsfr. Stadt";"5,3";"14,5";"11,0";"50,7";"10,5";"14,9";"1.918";"3.416";"13,22";"361,1";"843"
"09362";"Regensburg, Stadt";"krsfr. Stadt";"3,3";"12,6";"28,9";"51,5";"15,8";"10,8";"1.898";"3.676";"18,78";"401,3";"1.866"
"09363";"Weiden i.d.OPf., Stadt";"krsfr. Stadt";"6,1";"13,9";"11,1";"51,8";"10,8";"14,6";"1.830";"2.823";"16,57";"332,4";"603"
"09371";"Amberg-Sulzbach";"Landkreis";"2,7";"11,0";"7,6";"50,0";"5,4";"13,0";"1.905";"3.107";"1,97";"1.071,2";"82"
"09372";"Cham";"Landkreis";"2,7";"12,0";"6,4";"49,8";"5,4";"18,0";"1.861";"2.821";"5,45";"811,1";"84"
"09373";"Neumarkt i.d.OPf.";"Landkreis";"1,9";"11,4";"9,0";"49,5";"8,2";"12,0";"2.001";"3.182";"3,81";"839,5";"99"
"09374";"Neustadt a.d.Waldnaab";"Landkreis";"3,3";"11,2";"6,7";"50,3";"4,5";"13,9";"1.902";"2.942";"1,97";"1.049,8";"66"
"09375";"Regensburg";"Landkreis";"1,9";"10,6";"12,6";"49,9";"8,1";"14,4";"1.983";"3.111";"1,26";"877,6";"138"
